titles,category
이준석  개혁신당으로 유승민 모시고픈 마음 굴뚝 같다 ,Politics
합참  북한  서해 일대에서 순항미사일 여러 발 발사 ,Politics
 김경율  피습 돈봉투 주가조작 사건 명확   민주당만 가면 정쟁  뉴스앤이슈 ,Politics
복잡한 고속터미널 상가  내비 로 찾는다 이달부터  고터맵  운영,Politics
전병헌 전 청와대 정무수석  충성 경쟁만 몰두 민주당 탈당 ,Politics
   올해부터 본격적인 GTX시대 열겠다 A B C선 연장 ,Politics
정의당   연동 병립 혼합형 선거제  수용 가능 병립형 막자는 고육지책 ,Politics
김정은  지방경제 한심 격차 심각  균형발전 독려,Politics
중앙부처 지자체     개 행정 심의위에 청년     이상 위촉,Politics
인요한  김 여사 마리 앙투아네트 비유는 부적절 프랑스는 왕국 ,Politics
지난해 GDP      성장 수출 회복에  분기      ,Economic
   인 미만  중대재해법 오늘 분수령 모레부터 시행 유력,Economic
테슬라  차세대 전기차 준비  올해 성장률  작년보다 현저하게 낮을 것 ,Economic
대한전선  해외 생산거점 확대 가속    유럽서 M A 검토 ,Economic
 속보   전국 GTX시대  열린다 노선  개로 춘천 원주 아산까지 연결,Economic
반도체 밀수출업체 잡혔다    견본품으로 위장 ,Economic
교촌치킨   항저우중심점 개점 한 달 만에 매출   억원  돌파,Economic
국민연금  사각지대   명중  명은 못 낸다,Economic
기아  RV 버프 로 최대 실적 올해는 EV    날개 달고   조 영업익 종합 ,Economic
 월부터 신한카드 등  개 카드로 결제시    착한가격업소      원 할인,Economic
대법   당선무효형  아산시장  심 재판 다시 하라 절차 하자  종합 ,social
공지영  미안해 죽겠다  사과에 진중권이 보인 반응,social
울산태화강마두희축제  월      일 개최  수상 프로그램 확대 ,social
 단독  건설사 비리 수사  검찰  울산시 양산시 동시 압수수색,social
 경기금융복지센터  지난해  천   명 채무조정 지원   전년  배로  경기 ,social
 설명절 임금체불 잡아냅니다  울산교육청  집중 점검,social
 대형마트  일요일 문 엽니다  대신 수요일 닫습니다,social
 할아버지  어디 가세요   버스 기사가 영하   도 실종된    세 노인 구했다,social
전청조  대중들 나에게 아직도 관심 감옥서 책 써 피해보상 ,social
 백신 접종하면 새로운 변이 나타나도 피해 최소화 ,social
작곡가 진은숙   클래식 노벨상  에른스트 폰 지멘스 수상,Culture
지리산 구례  화엄사 홍매화  천연기념물 지정,Culture
SNL코리아 제작사  쿠팡 자회사가 제작진 빼돌려 영업방해 ,Culture
문체부  올해 K 북 해외 진출에 총   억 투입,Culture
한국타이어  모터스포츠 다큐멘터리  더 퍼스트  티빙 공개,Culture
KGM  파트너스데이  개최  토레스 쿠페  전기 픽업트럭 개발 총력 ,Culture
미 항공당국  동체 구멍  보잉     맥스   운항재개 승인,World
 속보   우크라 전쟁포로   명 태운 러 군용기 추락 ,World
중국 장시성 건물 화재   명 사망 교육기관 호텔 등 입주,World
바이든  후보 등록 안 한 뉴햄프셔 민주 경선서 승리 전망,World
 대통령이 파업 동참해서  바이든 지지,World
    공습에도 예멘 반군  아덴만서   컨테이너선에 미사일  발 발사,World
     달러 디올백    여당 흔들다  외신에 뜬 김건희 여사,World
 이스라엘 하마스  한 달 휴전에 원칙적 합의 ,World
  인민은행장   월 일부터 지급준비율     포인트 인하 ,World
제  이동통신 탄생할까  G     주파수 경매 돌입,IT
크래프톤  올해 신작 출시 본격화  게임 중심으로 조직 정비,IT
  만명 개인정보 유출 한국고용정보원 한국장학재단  과태료     만원,IT
농구웹툰  가비지타임   IP사업으로   억원 매출  팬덤 보유 ,IT
NHN클라우드  울산 지역 공공기관 상대로 클라우드 전략 공유,IT
SK C C  현대홈쇼핑 차세대 시스템 구현,IT
에티버스   오라클 클라우드 서밋       참가,IT
젊은 과학자 지원에  천   억원 삭감 과제 포기 후 재신청 가능,IT
